layer,head,enrichment_date
3,11,1.2508883476257324
0,4,1.1700845956802368
0,1,1.0687065124511719
0,0,1.0674065351486206
0,3,1.0563405752182007
0,10,1.0526676177978516
7,0,1.042214274406433
0,11,1.0409393310546875
4,1,1.0264387130737305
0,2,1.0170567035675049
0,8,1.014378309249878
7,8,0.9832069873809814
8,7,0.9723787307739258
6,8,0.9709497690200806
10,4,0.9359447360038757
0,9,0.9289045333862305
8,9,0.9191388487815857
9,4,0.9103847146034241
8,6,0.9071593880653381
8,11,0.9056087136268616
6,10,0.904971182346344
0,7,0.9048880338668823
1,2,0.8935267329216003
7,6,0.8674528002738953
0,5,0.85976243019104
6,0,0.8280727863311768
6,5,0.812387228012085
7,5,0.7954981923103333
0,6,0.7930100560188293
4,8,0.7918206453323364
7,1,0.7636210918426514
2,1,0.74153071641922
3,8,0.73866206407547
6,3,0.7385132908821106
10,9,0.7209122776985168
7,3,0.7118213176727295
1,11,0.6874755024909973
2,8,0.676813542842865
9,5,0.6703698635101318
10,5,0.6522225141525269
6,11,0.6499471068382263
9,9,0.6485275030136108
4,9,0.6448463797569275
8,0,0.6425468325614929
6,9,0.6365600824356079
6,1,0.6359399557113647
5,1,0.6340340971946716
6,4,0.63163822889328
3,3,0.6227088570594788
6,2,0.6186150312423706
2,7,0.6134192943572998
3,6,0.597455620765686
9,1,0.5946311950683594
8,10,0.5886686444282532
5,3,0.5873362421989441
4,2,0.5844473838806152
8,3,0.57972651720047
2,5,0.5790720582008362
3,5,0.5695965886116028
9,7,0.5680978298187256
3,7,0.5644938349723816
7,11,0.5629637241363525
3,0,0.5618271827697754
11,6,0.5615478157997131
2,6,0.5507103204727173
6,7,0.546265721321106
7,2,0.5434470772743225
9,2,0.5426891446113586
3,9,0.5412995219230652
3,2,0.5404884815216064
5,5,0.5335882902145386
10,11,0.5328574776649475
1,7,0.5167794227600098
10,8,0.5115178227424622
1,1,0.5114384889602661
2,3,0.511423647403717
6,6,0.5088200569152832
11,9,0.4947900176048279
3,1,0.48833131790161133
8,1,0.4821285009384155
10,2,0.48125410079956055
4,5,0.46477070450782776
1,4,0.4556082487106323
1,0,0.4526865780353546
4,4,0.4479711055755615
7,10,0.44737663865089417
1,8,0.44295358657836914
4,11,0.4428762197494507
2,4,0.43927931785583496
2,9,0.4379469156265259
9,6,0.4374019205570221
8,2,0.43735018372535706
9,11,0.4304325580596924
7,4,0.4295881688594818
7,9,0.4285484552383423
4,6,0.4226164221763611
4,10,0.4224202036857605
4,0,0.42160487174987793
3,4,0.41733935475349426
5,7,0.4140651822090149
9,8,0.40936610102653503
8,5,0.4069763422012329
1,6,0.404908150434494
5,4,0.39678242802619934
5,10,0.39494332671165466
4,7,0.3922417163848877
5,9,0.3889686167240143
4,3,0.38349586725234985
5,8,0.3832073509693146
2,10,0.3699444830417633
3,10,0.35966017842292786
7,7,0.3374555706977844
9,0,0.32543736696243286
5,11,0.31101956963539124
10,0,0.30702516436576843
10,3,0.3063662052154541
1,5,0.2965724468231201
2,11,0.29456353187561035
10,1,0.2931991517543793
1,3,0.29206737875938416
2,0,0.28759634494781494
9,10,0.2759876549243927
11,7,0.2613460421562195
8,4,0.2596259117126465
11,3,0.2484249621629715
5,2,0.24511902034282684
5,6,0.2442699819803238
9,3,0.22677308320999146
5,0,0.22461411356925964
11,1,0.1978536695241928
1,10,0.19722801446914673
8,8,0.16781102120876312
10,10,0.16594144701957703
10,6,0.1451403945684433
10,7,0.1377720832824707
2,2,0.13123852014541626
11,5,0.09989356249570847
11,2,0.09178115427494049
1,9,0.09017285704612732
11,10,0.05837264284491539
11,11,0.05820031464099884
11,8,0.028339629992842674
11,0,0.010720585472881794
11,4,0.005558588542044163
