group,layer,head,enrichment_date
seen,0,0,1.0755735635757446
seen,0,1,1.076158046722412
seen,0,2,1.0170323848724365
seen,0,3,1.0618208646774292
seen,0,4,1.174911379814148
seen,0,5,0.8612741231918335
seen,0,6,0.7943703532218933
seen,0,7,0.9042595624923706
seen,0,8,0.9986212253570557
seen,0,9,0.9282696843147278
seen,0,10,1.0633668899536133
seen,0,11,1.035905122756958
seen,1,0,0.4530941843986511
seen,1,1,0.5082858800888062
seen,1,2,0.8944547176361084
seen,1,3,0.30162739753723145
seen,1,4,0.4562951326370239
seen,1,5,0.3062860369682312
seen,1,6,0.4252540171146393
seen,1,7,0.5302503108978271
seen,1,8,0.43817439675331116
seen,1,9,0.09750896692276001
seen,1,10,0.19744166731834412
seen,1,11,0.6985060572624207
seen,2,0,0.2893984913825989
seen,2,1,0.7508609294891357
seen,2,2,0.12964707612991333
seen,2,3,0.5148612856864929
seen,2,4,0.4417506754398346
seen,2,5,0.5796497464179993
seen,2,6,0.5551146864891052
seen,2,7,0.615799069404602
seen,2,8,0.7063816785812378
seen,2,9,0.44188451766967773
seen,2,10,0.3780573010444641
seen,2,11,0.29719147086143494
seen,3,0,0.5727720260620117
seen,3,1,0.4982161223888397
seen,3,2,0.5678986310958862
seen,3,3,0.636556088924408
seen,3,4,0.4142007529735565
seen,3,5,0.5782941579818726
seen,3,6,0.6068087220191956
seen,3,7,0.5671613216400146
seen,3,8,0.7488681077957153
seen,3,9,0.5503215193748474
seen,3,10,0.36335885524749756
seen,3,11,1.2774229049682617
seen,4,0,0.42903420329093933
seen,4,1,1.0542458295822144
seen,4,2,0.5872359275817871
seen,4,3,0.39018091559410095
seen,4,4,0.4502407908439636
seen,4,5,0.4648880660533905
seen,4,6,0.4199099540710449
seen,4,7,0.39693304896354675
seen,4,8,0.8038700819015503
seen,4,9,0.6751769781112671
seen,4,10,0.4245522916316986
seen,4,11,0.4480212330818176
seen,5,0,0.22493904829025269
seen,5,1,0.6365254521369934
seen,5,2,0.2486378252506256
seen,5,3,0.5919871926307678
seen,5,4,0.4314563274383545
seen,5,5,0.5366283059120178
seen,5,6,0.2514243423938751
seen,5,7,0.4244926869869232
seen,5,8,0.38663792610168457
seen,5,9,0.3871000409126282
seen,5,10,0.4431998133659363
seen,5,11,0.32767748832702637
seen,6,0,0.8572843074798584
seen,6,1,0.6579999327659607
seen,6,2,0.600383996963501
seen,6,3,0.7451686859130859
seen,6,4,0.6370721459388733
seen,6,5,0.7986040115356445
seen,6,6,0.5098171234130859
seen,6,7,0.5410287976264954
seen,6,8,0.9948580265045166
seen,6,9,0.6471047401428223
seen,6,10,0.9005225896835327
seen,6,11,0.6514638066291809
seen,7,0,1.0246055126190186
seen,7,1,0.7468698024749756
seen,7,2,0.5618249177932739
seen,7,3,0.7212825417518616
seen,7,4,0.43005067110061646
seen,7,5,0.7842168211936951
