
##################################################
# Ablation: MIN_USER_TEXTS
##################################################

--- MIN_USER_TEXTS = 5 ---
Epoch 1: train=1.5464, val=1.2253
Epoch 2: train=1.1057, val=1.0730
Epoch 3: train=0.8825, val=1.0794
Epoch 4: train=0.7386, val=1.0883
Epoch 5: train=0.6641, val=1.1143
Epoch 1: train=1.4330, val=1.1924
Epoch 2: train=1.0717, val=1.0852
Epoch 3: train=0.8706, val=1.1566
Epoch 4: train=0.7323, val=1.0899
Epoch 5: train=0.6487, val=1.1253
Epoch 1: train=1.4821, val=1.3853
Epoch 2: train=1.0782, val=1.1637
Epoch 3: train=0.8830, val=1.0912
Epoch 4: train=0.7380, val=1.1135
Epoch 5: train=0.6363, val=1.1108
MIN_USER_TEXTS=5
  r_composite: 0.588 ± 0.005
  r_valence:   0.688 ± 0.007
  r_arousal:   0.489 ± 0.004

--- MIN_USER_TEXTS = 10 ---
Epoch 1: train=1.5151, val=1.2340
Epoch 2: train=1.0874, val=1.0703
Epoch 3: train=0.8764, val=1.0721
Epoch 4: train=0.7700, val=1.0701
Epoch 5: train=0.6739, val=1.0864
Epoch 1: train=1.4338, val=1.2231
Epoch 2: train=1.0699, val=1.1117
Epoch 3: train=0.8734, val=1.1833
Epoch 4: train=0.7297, val=1.0813
Epoch 5: train=0.6430, val=1.1180
Epoch 1: train=1.4388, val=1.3475
Epoch 2: train=1.0400, val=1.1066
Epoch 3: train=0.8469, val=1.0727
Epoch 4: train=0.7220, val=1.1051
Epoch 5: train=0.6357, val=1.0809
MIN_USER_TEXTS=10
  r_composite: 0.609 ± 0.006
  r_valence:   0.704 ± 0.005
  r_arousal:   0.514 ± 0.007

--- MIN_USER_TEXTS = 15 ---
Epoch 1: train=1.4811, val=1.2453
Epoch 2: train=1.0959, val=1.1065
Epoch 3: train=0.8980, val=1.0801
Epoch 4: train=0.7912, val=1.0877
Epoch 5: train=0.7030, val=1.0901
Epoch 1: train=1.4200, val=1.1833
Epoch 2: train=1.0754, val=1.1026
Epoch 3: train=0.8885, val=1.1228
Epoch 4: train=0.7635, val=1.0761
Epoch 5: train=0.6721, val=1.1091
Epoch 1: train=1.4422, val=1.3973
Epoch 2: train=1.0402, val=1.1290
