layer,head,enrichment_uid
10,5,3.8192014694213867
10,9,3.2222564220428467
10,1,2.185826301574707
8,4,2.1771934032440186
6,11,1.9645363092422485
7,0,1.9247479438781738
8,6,1.8849328756332397
8,11,1.8769581317901611
6,2,1.80110502243042
7,9,1.750609278678894
6,1,1.7217234373092651
11,3,1.684077262878418
6,8,1.6620051860809326
10,4,1.644142746925354
9,11,1.5974249839782715
5,4,1.5700209140777588
8,2,1.497797966003418
4,9,1.489894986152649
4,1,1.4851678609848022
0,4,1.4656988382339478
10,3,1.4407809972763062
10,6,1.3913589715957642
7,5,1.3858311176300049
10,0,1.358161449432373
9,4,1.343664526939392
6,9,1.3421521186828613
0,1,1.3264278173446655
8,1,1.2997757196426392
10,2,1.2724452018737793
0,10,1.2104893922805786
8,5,1.170423150062561
0,3,1.1561625003814697
8,9,1.1284595727920532
7,8,1.1101754903793335
0,11,1.1049253940582275
4,10,1.0953707695007324
4,8,1.0842463970184326
6,0,1.0610867738723755
4,0,1.043136715888977
11,5,1.0373870134353638
10,7,1.0359642505645752
7,2,1.02159583568573
0,2,1.0203174352645874
6,10,1.0190037488937378
6,3,1.0144916772842407
10,8,1.000962495803833
5,7,0.9888449311256409
8,7,0.9818190932273865
0,7,0.9753842353820801
3,3,0.9721788763999939
9,5,0.9694691300392151
0,8,0.9160425066947937
8,10,0.9056815505027771
11,1,0.8874812126159668
2,8,0.8813692331314087
9,1,0.8766773343086243
0,0,0.8704043626785278
8,0,0.8581189513206482
6,7,0.857165515422821
10,10,0.8328503370285034
10,11,0.8255789279937744
8,3,0.818549633026123
5,10,0.8054237365722656
1,2,0.8042300343513489
7,6,0.8032976388931274
9,0,0.7986262440681458
9,9,0.789252519607544
1,7,0.7866055965423584
4,11,0.7672210931777954
9,10,0.7646785974502563
0,9,0.7640897631645203
3,11,0.754478394985199
5,1,0.7536240220069885
5,11,0.7503898739814758
3,2,0.7309937477111816
9,6,0.7214375138282776
2,5,0.7100433111190796
7,3,0.7081750631332397
7,11,0.6940127015113831
11,7,0.6836665272712708
9,7,0.673515796661377
9,2,0.6658213138580322
8,8,0.6536665558815002
4,5,0.650297999382019
4,4,0.648822546005249
7,1,0.6380330324172974
6,5,0.6311421394348145
5,9,0.6309908032417297
0,6,0.6016176342964172
9,3,0.6008882522583008
9,8,0.5971744060516357
5,3,0.5931413769721985
2,1,0.5836946368217468
2,3,0.5815664529800415
2,9,0.5791410207748413
6,4,0.5726916790008545
1,8,0.5707142949104309
7,7,0.5690545439720154
4,7,0.5527647137641907
2,4,0.5388633608818054
11,10,0.5380999445915222
1,11,0.5309467315673828
4,2,0.5308684706687927
2,7,0.5232875347137451
3,8,0.5221974849700928
1,5,0.5109128355979919
2,10,0.501884400844574
5,5,0.49713021516799927
7,4,0.4663316011428833
3,7,0.4626951217651367
5,0,0.4605698883533478
6,6,0.45972782373428345
0,5,0.4553387761116028
4,3,0.44797080755233765
7,10,0.4316376745700836
5,8,0.42627498507499695
11,0,0.414732426404953
3,5,0.4088161885738373
11,9,0.38925227522850037
1,1,0.3800250291824341
3,0,0.3531619608402252
3,6,0.34952330589294434
3,9,0.3410111963748932
5,2,0.3312445878982544
1,6,0.3294214904308319
2,11,0.3250213861465454
1,0,0.3242175579071045
5,6,0.2915976643562317
2,6,0.28755128383636475
3,1,0.28123292326927185
11,8,0.2751125991344452
1,4,0.27471375465393066
11,11,0.2732124626636505
11,6,0.2389766126871109
2,0,0.23006559908390045
1,3,0.22368654608726501
3,10,0.21482203900814056
3,4,0.18169023096561432
4,6,0.16141729056835175
1,10,0.15807446837425232
11,2,0.14625202119350433
2,2,0.09284751117229462
1,9,0.06923946738243103
11,4,0.03699365258216858
