group,layer,head,enrichment_uid
seen,0,0,0.8689582347869873
seen,0,1,1.303340196609497
seen,0,2,1.010547399520874
seen,0,3,1.1493244171142578
seen,0,4,1.4230985641479492
seen,0,5,0.4758724272251129
seen,0,6,0.6086869239807129
seen,0,7,0.9656177163124084
seen,0,8,0.9021310806274414
seen,0,9,0.7699562311172485
seen,0,10,1.1989892721176147
seen,0,11,1.1027618646621704
seen,1,0,0.3304518461227417
seen,1,1,0.39599326252937317
seen,1,2,0.8034548759460449
seen,1,3,0.21444696187973022
seen,1,4,0.27019599080085754
seen,1,5,0.4809635877609253
seen,1,6,0.33008673787117004
seen,1,7,0.8127667307853699
seen,1,8,0.5825379490852356
seen,1,9,0.06963305920362473
seen,1,10,0.15999026596546173
seen,1,11,0.520683765411377
seen,2,0,0.22814418375492096
seen,2,1,0.5914247632026672
seen,2,2,0.08863980323076248
seen,2,3,0.5667632818222046
seen,2,4,0.5058745741844177
seen,2,5,0.6980627179145813
seen,2,6,0.2733513414859772
seen,2,7,0.5274500250816345
seen,2,8,0.8791502118110657
seen,2,9,0.5949631333351135
seen,2,10,0.4790237545967102
seen,2,11,0.32533615827560425
seen,3,0,0.321644127368927
seen,3,1,0.2825722098350525
seen,3,2,0.7654343247413635
seen,3,3,0.9608187675476074
seen,3,4,0.16212448477745056
seen,3,5,0.4033501148223877
seen,3,6,0.35968080163002014
seen,3,7,0.47106438875198364
seen,3,8,0.4975186288356781
seen,3,9,0.35614246129989624
seen,3,10,0.21306002140045166
seen,3,11,0.7563512921333313
seen,4,0,1.0569661855697632
seen,4,1,1.4635621309280396
seen,4,2,0.5358160734176636
seen,4,3,0.46075332164764404
seen,4,4,0.6844773888587952
seen,4,5,0.6230119466781616
seen,4,6,0.14831675589084625
seen,4,7,0.5461697578430176
seen,4,8,1.066809892654419
seen,4,9,1.4107487201690674
seen,4,10,1.1204861402511597
seen,4,11,0.8020122647285461
seen,5,0,0.46955814957618713
seen,5,1,0.772671103477478
seen,5,2,0.31853187084198
seen,5,3,0.6073757410049438
seen,5,4,1.568986177444458
seen,5,5,0.48385632038116455
seen,5,6,0.26716312766075134
seen,5,7,1.003075361251831
seen,5,8,0.4457665979862213
seen,5,9,0.5923526287078857
seen,5,10,0.892884373664856
seen,5,11,0.7241559624671936
seen,6,0,1.0698258876800537
seen,6,1,1.6698524951934814
seen,6,2,1.5045709609985352
seen,6,3,1.0194313526153564
seen,6,4,0.5965508222579956
seen,6,5,0.7121862769126892
seen,6,6,0.4837263226509094
seen,6,7,0.8468019962310791
seen,6,8,1.5710930824279785
seen,6,9,1.2663097381591797
seen,6,10,0.9777722954750061
seen,6,11,1.8684924840927124
seen,7,0,1.8699365854263306
seen,7,1,0.6532138586044312
seen,7,2,0.9618938565254211
seen,7,3,0.7137190699577332
seen,7,4,0.44217443466186523
seen,7,5,1.3521728515625
seen,7,6,0.8040372133255005
seen,7,7,0.542654812335968
seen,7,8,1.1017539501190186
seen,7,9,1.5545779466629028
seen,7,10,0.4481855034828186
seen,7,11,0.7090141177177429
seen,8,0,0.8476091623306274
seen,8,1,1.2586381435394287
seen,8,2,1.4464439153671265
seen,8,3,0.8042924404144287
seen,8,4,2.0413780212402344
seen,8,5,1.150585412979126
seen,8,6,1.8784303665161133
seen,8,7,1.0058146715164185
seen,8,8,0.6145710349082947
seen,8,9,1.108811616897583
seen,8,10,0.922913134098053
seen,8,11,1.8927288055419922
seen,9,0,0.72870934009552
seen,9,1,0.8326542973518372
seen,9,2,0.6463654637336731
seen,9,3,0.5592480897903442
seen,9,4,1.227280855178833
seen,9,5,0.9025430083274841
seen,9,6,0.7020489573478699
seen,9,7,0.625557005405426
seen,9,8,0.5521649718284607
seen,9,9,0.7641739249229431
seen,9,10,0.6963059902191162
seen,9,11,1.5374811887741089
seen,10,0,1.2757728099822998
seen,10,1,1.831939697265625
seen,10,2,1.1683664321899414
seen,10,3,1.3390599489212036
seen,10,4,1.4403481483459473
seen,10,5,3.3386518955230713
seen,10,6,1.2749377489089966
seen,10,7,1.0049041509628296
seen,10,8,0.9439963698387146
seen,10,9,2.8011748790740967
seen,10,10,0.8697013258934021
seen,10,11,0.7633556127548218
seen,11,0,0.3810533285140991
seen,11,1,0.818206250667572
seen,11,2,0.1300709843635559
seen,11,3,1.4755851030349731
seen,11,4,0.03815620765089989
seen,11,5,0.8908315896987915
seen,11,6,0.2313164323568344
seen,11,7,0.534400463104248
seen,11,8,0.2488766461610794
seen,11,9,0.3455478549003601
seen,11,10,0.4629128873348236
seen,11,11,0.25484055280685425
unseen,0,0,0.8311529755592346
unseen,0,1,1.260573387145996
unseen,0,2,0.9838020205497742
unseen,0,3,1.2377952337265015
unseen,0,4,1.307891845703125
unseen,0,5,0.5265634059906006
unseen,0,6,0.6462411880493164
unseen,0,7,0.9625695943832397
unseen,0,8,0.8699218034744263
unseen,0,9,0.7901989817619324
unseen,0,10,1.217329978942871
unseen,0,11,1.0885742902755737
unseen,1,0,0.3830525577068329
unseen,1,1,0.44420745968818665
unseen,1,2,0.8029453754425049
unseen,1,3,0.16418586671352386
unseen,1,4,0.1923941969871521
unseen,1,5,0.35107970237731934
unseen,1,6,0.2825585603713989
unseen,1,7,0.8076735734939575
unseen,1,8,0.5618699193000793
unseen,1,9,0.07403691858053207
unseen,1,10,0.17018269002437592
unseen,1,11,0.4368392527103424
unseen,2,0,0.19028474390506744
unseen,2,1,0.5986253619194031
unseen,2,2,0.07315883785486221
unseen,2,3,0.4629913568496704
unseen,2,4,0.45062968134880066
unseen,2,5,0.6864654421806335
unseen,2,6,0.23649337887763977
unseen,2,7,0.5220945477485657
unseen,2,8,0.7565494775772095
unseen,2,9,0.6602231860160828
unseen,2,10,0.3929399251937866
unseen,2,11,0.30525240302085876
unseen,3,0,0.16758950054645538
unseen,3,1,0.2541256248950958
unseen,3,2,0.832834005355835
unseen,3,3,0.8478437066078186
unseen,3,4,0.11116663366556168
unseen,3,5,0.29952433705329895
unseen,3,6,0.4028792679309845
unseen,3,7,0.5069392919540405
unseen,3,8,0.3407396674156189
unseen,3,9,0.44313353300094604
unseen,3,10,0.21674132347106934
unseen,3,11,0.7091535329818726
unseen,4,0,1.1455923318862915
unseen,4,1,1.2385255098342896
unseen,4,2,0.5526586771011353
unseen,4,3,0.5304458737373352
unseen,4,4,0.8734742999076843
unseen,4,5,0.5245187282562256
unseen,4,6,0.10854355245828629
unseen,4,7,0.4784305989742279
unseen,4,8,0.9612166881561279
unseen,4,9,0.9844828248023987
unseen,4,10,1.1705951690673828
unseen,4,11,0.9263131618499756
unseen,5,0,0.5148875713348389
unseen,5,1,0.8784056901931763
unseen,5,2,0.24621690809726715
unseen,5,3,0.611457109451294
unseen,5,4,1.527703881263733
unseen,5,5,0.3997085690498352
unseen,5,6,0.184250146150589
unseen,5,7,0.9646511077880859
unseen,5,8,0.5862326622009277
unseen,5,9,0.43217137455940247
unseen,5,10,1.2753268480300903
