layer,head,enrichment_uid
10,5,2.2320637702941895
8,11,2.133667230606079
8,6,1.8417832851409912
10,9,1.7790653705596924
8,4,1.763959288597107
7,0,1.668243646621704
6,11,1.590803623199463
5,4,1.5441501140594482
9,11,1.4510891437530518
6,1,1.3867439031600952
8,2,1.3704699277877808
6,8,1.357048511505127
0,4,1.3537890911102295
4,1,1.3281770944595337
7,5,1.319556713104248
0,1,1.2776111364364624
0,10,1.210023283958435
0,3,1.2025490999221802
10,1,1.175315499305725
10,4,1.1567561626434326
4,9,1.1543024778366089
4,10,1.1506340503692627
10,3,1.1467571258544922
7,9,1.1345912218093872
5,10,1.122965693473816
8,1,1.1190122365951538
4,0,1.1102845668792725
0,11,1.0942257642745972
11,3,1.0864614248275757
8,9,1.0825618505477905
8,5,1.0816608667373657
10,0,1.0766525268554688
7,8,1.071191668510437
6,3,1.0631035566329956
8,7,1.0361689329147339
9,4,1.0227352380752563
10,2,1.0034713745117188
4,8,1.0032844543457031
6,9,1.001228928565979
10,6,0.9954386353492737
0,2,0.9944572448730469
6,2,0.9876146912574768
5,7,0.97995924949646
8,10,0.9691514372825623
0,7,0.963783860206604
7,2,0.9418667554855347
6,5,0.9393317699432373
6,0,0.9391935467720032
10,7,0.907452404499054
3,3,0.8928518295288086
6,10,0.890897810459137
0,8,0.8827548027038574
10,10,0.8814795613288879
4,11,0.8767924308776855
6,7,0.8514754176139832
0,0,0.8462139368057251
10,8,0.8369498252868652
5,1,0.8362820148468018
8,0,0.8315681219100952
11,1,0.8307577967643738
8,3,0.8108993172645569
1,7,0.8097015023231506
7,6,0.8096956014633179
3,2,0.8059824109077454
2,8,0.8053916096687317
1,2,0.8031474351882935
4,4,0.7981806397438049
0,9,0.7821345925331116
11,5,0.761005699634552
9,1,0.7585904598236084
7,3,0.7424329519271851
9,5,0.7332912087440491
3,11,0.7279569506645203
7,1,0.7182798385620117
7,11,0.7067291140556335
9,9,0.7026856541633606
2,5,0.6910863518714905
5,11,0.6731840372085571
6,4,0.6711501479148865
9,6,0.6450756788253784
10,11,0.6418214440345764
2,9,0.6342244744300842
0,6,0.6312796473503113
9,0,0.6144038438796997
9,2,0.6107792854309082
5,3,0.6098308563232422
2,1,0.5957566499710083
1,8,0.5701039433479309
6,6,0.5696202516555786
4,5,0.5637568831443787
4,2,0.5459485054016113
9,10,0.5363462567329407
8,8,0.5316320657730103
5,8,0.5302724242210388
9,7,0.5243750810623169
2,7,0.5242289304733276
0,5,0.5063687562942505
4,7,0.5054171085357666
2,3,0.504332959651947
4,3,0.5026815533638
5,0,0.49682849645614624
5,9,0.49598538875579834
3,7,0.49264708161354065
7,10,0.4829411804676056
2,4,0.47263890504837036
9,8,0.4716186821460724
1,11,0.47024187445640564
7,7,0.46194395422935486
9,3,0.45878031849861145
5,5,0.43323278427124023
2,10,0.4272347688674927
1,1,0.4249991774559021
11,0,0.41835543513298035
3,9,0.4084772765636444
3,8,0.4031983017921448
1,5,0.40282395482063293
3,6,0.3856699764728546
7,4,0.36276209354400635
1,0,0.3620973825454712
3,5,0.34088703989982605
11,10,0.3338901698589325
2,11,0.31325337290763855
11,7,0.30236563086509705
1,6,0.3014930784702301
11,9,0.2956167757511139
5,2,0.27502626180648804
11,11,0.27343663573265076
3,1,0.26545870304107666
11,8,0.2600054144859314
2,6,0.25117695331573486
11,6,0.23930691182613373
3,0,0.2289631962776184
1,4,0.22338934242725372
5,6,0.21728160977363586
3,10,0.2152746170759201
2,0,0.20536741614341736
1,3,0.18420936167240143
1,10,0.16612215340137482
3,4,0.1314675360918045
4,6,0.12438865005970001
11,2,0.10088423639535904
2,2,0.07932617515325546
1,9,0.07228249311447144
11,4,0.050654198974370956
